0
"['49', '99', '2021', 'topps', 'mlb', 'baseball', 'trading', 'card', 'complete', 'set', 'baseballcards', 'topps', 'mlbsource', 'target', 'searchreason']"
"['49', '99', '2021', 'topps', 'mlb', 'baseball', 'trading', 'card', 'complete', 'set', 'baseballcards', 'topps', 'mlbsource', 'target', 'searchreason']"
"['happy', 'rep', 'best', 'talent', 'u', 'amp', 'latin', 'america', 'mlb', 'mlbdraft', 'philadelphia', 'nyc', 'losangeles']"
"['san', 'diego', 'padre', 'navy', '1997', '59fifty', 'available', 'hatheaven', 'newdrop', 'hatheaven', 'hatheavendotcom', 'mlb']"
"['bluerosetc', 'mager', 'lgdoucet', 'candydigital', 'mlbchampions', 'obsess', 'mlbchampions', 'original', 'mlbnft', 'mlb', 'nft', '2018']"
"['podcast', 'en', 'directo', 'vozdelfanatico25', '10', '2021', 'en', 'spreaker', 'f1', 'futbol', 'mlb', 'nba', 'nfl', 'vozdelfanatico25']"
"['listen', 'me', 'atlanta', 'brave', 'worldseries', 'mlb', 'atlantabraves']"
"['mlb', 'astros', 'brave', 'worldseries']"
"['weird', 'baseball', 'since', 'dodger', 'eliminate', 'playoff', 'contention', 'ladodgers', 'mlb']"
"['la', 'verdadera', 'cabra', 'thegoat', 'mlb', 'mlbtheshow21']"
[]
"['dodger', 'literally', 'played', 'mlb', 'ultimate', 'team', 'roster', 'still', 'didnt', 'make', 'world', 'series', 'wow', 'mlb', 'mlbplayoffs']"
"['one', 'thought', 'ladybug', 'chat', 'noir', 'like', 'till', 'saw', 'glaciator', 'mlb']"
"['anybody', 'outside', 'houston', 'actually', 'root', 'astros', 'mlb', 'worldseries', 'astros', 'brave']"
"['one', 'day', 'son', 'say', 'played', 'dude', 'mlb']"
"['who', 's', 'world', 'series', 'pick', 'draftfuel', 'mlb', 'mlbplayoffs', 'forthea', 'fortheh']"
"['who', 's', 'take', 'game', '1', 'mybookie', 'place', 'tonight', 'hot', 'take', 'cold', 'take', 'lay', 'u', 'mlb', 'worldseries']"
"['19', '99', '2021', 'topps', 'mlb', 'fire', 'baseball', 'trading', 'card', 'blaster', 'box', 'tradingcards', 'topps', 'mlb', 'baseballcardssource', 'tar']"
"['19', '99', '2021', 'topps', 'mlb', 'fire', 'baseball', 'trading', 'card', 'blaster', 'box', 'tradingcards', 'topps', 'mlb', 'baseballcardssource', 'tar']"
"['describe', 'react', 'trailer', 'gifs', 'now', 'gooo', 'mlbs4spoilers', 'mlb', 'mlbtwt']"
"['glad', 'able', 'snag', 'rare', 'juan', 'soto', 'candydigital']"
