0
"['attack', 'french', 'fry', 'bridgeport', 'islander', 'shut', 'laval', 'rocket', 'ahlislanders', 'hockey', 'hockeyfamily']"
"['flyasone', 'hockeyfamily', 'hockey', 'pensacolaiceflyers', 'sister', 'love', 'life', 'hero', 'princess', 'night', 'these']"
"['mower17', 'tbbhockey', 'havanthc', 'edwhitworth', 'cheer', 'charlie', 'hockeyfamily', 'good', 'week', 'hockeymondays']"
"['happy', 'place', 'scheelsiceplex', 'hockeyfamily']"
"['swsportsnews', 'tbbhockey', 'havanthc', 'whitworth', 'edwhitworth', 'variety', 'cousin', 'hockeyfamily']"
"['take', 'time', 'watch', 'hockeywales', 'final', 'hockeywales', 'hockeyfamily']"
"['today', '14', '30', 'herr', 'bundesliga', 'mhc', 'v', 'rot', 'wei', 'k', 'ln', 'live', 'mhc', 'tv']"
"['hockeyfamily', 'it', 's', 'man']"
"['it', 'front', 'welsh', 'hockeyfamily', 'crowd', 'so', 'happy', 'hocicymrumen', 'welshmenshockey']"
"['super', 'fan', 'nia', 'take', 'time', 'cheer', 'hockeywales', 'leahwilkinson17', 'semi', 'final', 'hockeyfamily']"
"['west', 'area', 'league', 'fixture', 'tomorrow', 'wlhc', 'upthecombe', 'hockeyfamily', 'restweekend']"
"['happy', 'friday', 'friyay', 'rockstars', 'ctshorelinesharks', 'hockeygirl', 'hockeyfamily', 'instahockey', 'hockeygram']"
"['add', 'couple', 'bluejacketsnhl', '5thline', 'cbj', 'nhl', 'hockeyfamily', 'hockey', 'adoption', 'fostercare']"
"['blakeswheels', 'keep', 'go', 'little', 'man', 'we', 're', 'right', 'behind', 'xx', 'hockeyfamily']"
"['explanation', 'need', 'hockey', 'hockeylife', 'hockeymom', 'hockeyfamily', 'boymom', 'weekendvibes', 'stl', 'st', 'louis', 'mi']"
"['weekend', 'round', '16th', 'oct', '2021', 'wphcparklife', 'hockeyfamily', 'letsgo', 'hockeysaturdays', 'fieldhockey', 'hockey']"
