0
"['mnwild', '47', 'brand', 'hudson', 'logo', 'clean', 'cap']"
"['i', 'm', 'back', 'don', 'wagon', 'fuck', 'hockeyseason', 'kingpalms', 'beer']"
"['mnwild', 'ryan', 'hartman', 'winner', 'hockeyseason', 'mnwild', 'letsgowild', 'letsplayhockey', 'nhl', 'hockey']"
"['let', 's', 'goooooo', 'hockeyseason', 'letsgored']"
"['iykyk', 'hockeyseason']"
"['welp', 'safe', 'say', 'know', 'time', 'now', 'hockeyseason']"
"['mnwild', '47', 'brand', 'clean', 'cap', 'white']"
"['woman', 's', 'mnwild', 'levelwear', 'verse', 'side', 'zip', 'xcelenergyctr', 'hockey', 'lodge']"
['hockeyseason']
"['portbombers', 'technical', 'difficulty', 'i', 'm', 'glad', 'solve', 'hockeyseason']"
"['tiny', 'mnwild', 'winter', 'classic', 'jersey', 'cutest']"
"['hat', 'trick', 'game', 'winner', 'mnwild', 'joel', 'eriksson', 'ek', 'homeopener', 'wildopener', 'wildseason', 'hockeyseason', 'hockey']"
"['begin', 'hockeyseason', 'youthhockey', 'hockeyparentlife']"
"['hey', 'mnwild', 'fan', 'time', 'it', 'gametime', 'homeopener', 'letsgowild', 'minnesotawild', 'wildfan', 'hockeyseason']"
"['repost', 'psouthhockey', 'we', 're', 'ready', 'roll', 'parkwaysouthposse', 'you', 'hockeyseason', 'psouthproud']"
"['repost', 'psouthhockey', 'we', 're', 'ready', 'roll', 'parkwaysouthposse', 'you', 'hockeyseason', 'psouthproud']"
"['least', 'seakraken', 'canuck', 'play', 'tonight', 'get', 'win', 'tonight', 'boy', 'hockeyseason', 'letsgocanucks', 'releasethekraken']"
"['winter', 'upon', 'u', 'else', 'excite', 'winter', 'season', 'hockeyseason']"
"['new', 'mnwild', 'kirll', 'kaprizov', 'blvd', 'street', 'sign', 'hockeyseason', 'mnwild', 'letsgowild', 'letsplayhockey']"
"['mnwild', 'chiller', 'fleece', 'hood', 'xcelenergyctr', 'hockey', 'lodge']"
"['mnwild', 'woman', 's', 'encore', 'kodiak', 'full', 'zip', 'xcelenergyctr', 'hockey', 'lodge']"
"['mnwild', 'net', 'fleece', 'hood', 'xcelenergyctr', 'hockey', 'lodge']"
"['hockeyseason', 'mnwild', 'letsgowild', 'letsplayhockey']"
"['mnwild', 'ryan', 'hartman', 'hockeyseason', 'mnwild', 'letsgowild', 'letsplayhockey', 'nhl', 'hockey', 'gomnwild']"
