0
"['red', 'sox', 'fan', 'know', 'strike', 'right', 'umpireblewit', 'mlbmemes', 'bostonredsox']"
"['comenta', 'sport', 'beisboldominicano', 'baseballplayer', 'milb', 'springtraining', 'nba', 'baseballseason', 'mlbmemes', 'miketrout']"
"['comenta', 'sport', 'beisboldominicano', 'baseballplayer', 'milb', 'springtraining', 'nba', 'baseballseason', 'mlbmemes', 'miketrout']"
