0
"['tseguin92', 'right', 'hockeyplayers', 'toughest', 'athlete', 'sport']"
"['might', 'caught', 'jack', 'rathbone5', 'look', 'mirror', 'two', 'work', 'out', 'act', 'hockey', 'hockeyplayers']"
"['love', 'see', 'shane', 'dwan', 'connorberg10', 'act', 'hockey', 'hockeyplayers']"
"['lot', 'athlete', 'conditioning', 'training', 'athlete', 'get', 'do', 'bostonimperials', 'act', 'hockey', 'hockeyplayers']"
"['home', 'opener', 'double', 'header', 'ayhl', 'opener', 'usahockey', 'hockey', 'hockeylife', 'hockeyboys', 'hockeyplayers']"
