0
"['writer', '75', 'year', 'old', 'george', 'clooney', 'editor', 'wrongage', 'wrong', 'age']"
"['i', 've', 'stop', 'editorsprint', 'minute', 'early', 'i', 've', 'proofread', 'chapter', 'it', 'even', 'shorter', 'though']"
"['writer', 'editor', 'proofreader']"
"['anybody', 'know', 'adobe', 'medium', 'encoder', 'get', 'error', 'every', 'time', 'try', 'render', 'it', 'editor', 'help']"
"['writer', 'least', '1000', 'editor', 'number', 'thousand']"
"['edit', 'editingtip', 'poetry', 'like', 'prose', 'style', 'site', 'be', 'compact', 'style', 'write', 'common', 'unique', 'editor', 'say']"
"['writer', 'make', 'way', 'editor', 'make', 'their', 'way']"
"['need', 'some1', 'start', 'edit', 'youtube', 'video', 'youtube', 'editor', 'video']"
"['writer', 'question', 'editor', 'singular', 'plural']"
"['source', 'editor', 'trust', 'quotation', 'what', 's', 'involve', 'fact', 'check', 'quote', 'sign', 'next']"
"['blather', 'wince', 'repeat', 'sound', 'familiar', 'weary', 'editor', 'take', 'break', 'laugh', 'funny', 'book']"
"['fellow', 'freelancer', 'editor', '450', 'word', 'long', 'pitch', 'report', 'pitch', 'something', 'that']"
"['writer', 'i', 'll', 'repeat', 'editor', 'movie']"
"['one', 'like', 'bullshitter', 'editor', 'spot', 'one', 'mile', 'off', 'think', 'pull', 'wool', 'editor']"
"['photo', 'photographer', 'you', 'photographer', 'editor', 'artist', 'photo', 'photoshoot']"
"['welcome', 'm', 'shereen', 'bhan', 'nominate']"
"['hire', 'editor', 'novel', 'submit', 'agent', 'editor', 'write', 'polish', 'fiction']"
"['writer', 'least', '1000', 'editor', 'number', 'thousand']"
"['writer', 'baby', 'due', 'march', 'editor', 'quote', 'attribution']"
"['blather', 'wince', 'repeat', 'sound', 'familiar', 'weary', 'editor', 'take', 'break', 'laugh', 'funny', 'book']"
