0
"['prettiest', 'lil', 'pumpkin', 'patch', 'ever', 'see', 'griffin', 'pourpainting', 'rrisdfinearts']"
"['rastasafariexperience', 'video', 'speed', 'hydrodipping', 'pourpainting', 'acrylicpainting', 'abstractart', 'woodsigns']"
"['pour', 'record', 'pourpainting', 'pourart', 'pourartwork', 'pourartist', 'pourpaint']"
"['scrap', 'wood', 'hydrodipping', 'pourpainting', 'acrylicpainting', 'abstractart', 'woodsigns', 'pallet']"
"['always', 'play', 'fire', 'make', 'sure', 'bless', 'hydrodipping', 'pourpainting', 'acrylicpainting']"
"['always', 'play', 'fire', 'make', 'sure', 'bless', 'hydrodipping', 'pourpainting', 'acrylicpainting']"
"['newjersey', 'nj', 'jerseyshore', 'look', 'nyc', 'hydrodipping', 'pourpainting', 'acrylicpainting', 'abstractart']"
"['lady', 'gentleman', 'pumpkin', 'fluid', 'paint', 'fluidpainting', 'pourpainting', 'halloween', 'pumpkin']"
"['many', 'shape', 'love', 'peachy', 'color', 'didyouseethat', 'doyouseewhatisee', 'fluidart', 'pourpainting']"
"['underneath', 'star', 'star', 'universe', 'pourart', 'pourpainting', 'love', 'acrylicpainting', 'art', 'artistontwitter']"
"['new', 'owner', 'soon', 'art', 'pourart', 'acrylicpaint', 'pourpainting', 'artist', 'artistontwitter']"
"['finish', 'pour', 'painting', 'pourpainting', 'acrylicpainting']"
"['time', 'chill', 'relax', 'hydrodipping', 'pourpainting', 'acrylicpainting', 'abstractart', 'woodsigns', 'pallet']"
"['cut', 'scrap', 'use', 'fire', 'wood', 'hydrodipping', 'pourpainting', 'acrylicpainting', 'abstractart', 'woodsigns']"
"['can', 't', 'wait', 'see', 'new', 'home', 'pourpainting', 'pourart', 'art', 'acrylicpainting', 'acrylicart', 'artwork']"
"['late', 'creation', 'luka', 'anyone', 'else', 'see', 'german', 'shepherd', 'givethanks', 'blondie', 'bless', 'pourpainting']"
