0
"['tech', 'aex', 'tech', 'spx', 'tech', 'tesla', 'tech', 'faang', 'buy', 'everything', 'price', 'cost', 'pump', 'macro']"
"['love', 'slushie', 'pokeceviche', 'freshmacros', 'poke', 'pokebowl', 'ceviche', 'cevichebowl', 'macro']"
"['know', 'supplement', 'macro', 'around', 'fitness', 'here', 's', 'guidance', 'you']"
"['hit', 'macro', 'well', 'dodger', 'hit', 'ball']"
"['1st', 'session', 'wk', '3', 'eatlookfeel', 'eatsleepworkoutrepeat', 'macro', 'workout', 'gymshark']"
"['way', 'enjoy', 'friday', 'pokeceviche', 'freshmacros', 'poke', 'pokebowl', 'ceviche', 'cevichebowl', 'macro']"
"['edibuddies', 'us', 'macro', 'msword', 'write', 'favourite', 'ask', 'friend', 'friend', 'name', 'me']"
"['perfect', 'way', 'end', 'thursday', 'lt', '3', 'pokeceviche', 'freshmacros', 'poke', 'pokebowl', 'ceviche', 'cevichebowl', 'macro']"
"['i', 've', 'use', 'excel', '20', 'year', 'still', 'know', 'macro', 'be', 'be', 'life', 'change', 'eit']"
"['intermittent', 'fast', 'work', 'diet', 'nutrition', 'macro', 'intermittentfasting']"
"['trainer', 'ups', 'fat', 'like', 'beg', 'macro', 'see', 'drop', 'calorie', '1745', 'well', 'played']"
"['russian', 'cybercrime', 'gang', 'target', 'finance', 'firm', 'stealthy', 'macro']"
"['macro', 'iphone', 'another', 'level']"
"['get', 'beef', 'beef', 'meat', 'protein', 'proteinleveraging', 'health', 'nutrition', 'macro', 'gotbeef']"
"['chorizo', 'protein', 'fat', 'nutrition', 'macro', 'chorizo', 'gym', 'health', 'snack', 'proteinleveraging', 'food', 'meat']"
"['make', 'miso', 'happy', 'pokeceviche', 'freshmacros', 'poke', 'pokebowl', 'ceviche', 'cevichebowl', 'macro']"
