0
"['success', 'monday', 'visit', 'gt']"
"['74k', 'reader', '1', 'month', 'metro', 'gazette', 'themetrogazette', 'newsyoucanuse', 'newsupdates', 'startupstory', 'onemonth']"
"['everyone', 'go', 'pay', 'face', 'startupstory', 'innovation', 'payment', 'facerecognition']"
"['startupstorypublishing', 'startup', 'startupstory', '9', 'tip', 'write', 'great', 'startup', 'story']"
"['happy', 'tgif', 'see', 'couple', 's', 'result', 'gt']"
"['get', 'result', 'thursday', 'gt', 'gt']"
"['emergence', 'medium', 'giant', 'startupstory', 'network18', 'entrepreneurship']"
"['technology', 'change', 'catch', 'yourstory', 'medium', 'panel', 'technology', 'techvision2021', 'global', 'startupstory']"
"['new', 'eu', 'fund', 'accelerator', 'target', 'green', 'business', 'ugandaread']"
"['k12', 'email', 'deliverability', 'issue', 'fix']"
"['egypt', 'launch', '3rd', 'african', 'app', 'launchpad', 'cupread']"
"['tlcom', 'host', '3rd', 'africa', 'tech', 'female', 'founder', 'summitread']"
"['9th', 'angel', 'fair', 'africa', 'set', 'mauritius', 'novemberread']"
"['transform', 'tuesday', 'visit', 'gt']"
