0
"['declaration', 'report', 'asks', 'american', 'choose', 'side', 'maga', 'keepamericagreat', 'trump', 'conservative']"
"['letsgobrandon', 'backtheblue', 'keepamericagreat', 'fakenews', 'pewpewlife', 'draintheswamp', 'shoot', 'foxnews', 'pistol']"
"['covid', 'makeamericagreatagain', 'trumptrain', 'bidenflation', 'meme', 'joebiden', 'trumpsupporters', 'keepamericagreat', 'adele']"
"['makeamericagreatagain', 'trumptrain', 'bidenflation', 'meme', 'joebiden', 'trumpsupporters', 'keepamericagreat', 'adele', 'eagle']"
"['makeamericagreatagain', 'trumptrain', 'bidenflation', 'meme', 'joebiden', 'trumpsupporters', 'keepamericagreat', 'adele', 'eagle']"
"['trumptrain', 'bidenflation', 'meme', 'joebiden', 'trumpsupporters', 'keepamericagreat', 'adele', 'eagle', 'jalen', 'brady']"
"['joebiden', 'meme', 'trumpsupporters', 'keepamericagreat', 'adele', 'eagle', 'jalen', 'brady', 'holocaust', 'greysanatomy', 'tbvsphi']"
"['joebiden', 'trumpsupporters', 'keepamericagreat', 'adele', 'eagle', 'jalen', 'brady', 'holocaust', 'greysanatomy', 'tbvsphi']"
"['trumpsupporters', 'keepamericagreat', 'adele', 'eagle', 'jalen', 'brady', 'holocaust', 'greysanatomy', 'tbvsphi', 'fournette', 'lgrw']"
"['keepamericagreat', 'adele', 'eagle', 'jalen', 'brady', 'holocaust', 'greysanatomy', 'tbvsphi', 'fournette', 'lgrw', 'larkin', 'trump']"
