0
"['rvcj', 'fb', 'yeeeuuu', 'pune', 'punekar', 'puneretweets', 'retweetspune']"
"['152', '0', 'indiavspak', 'indiavspakistan', 'indiancricketteam', 'india', 'indvpak', 'ind', 'pune', 'punekar']"
"['prem', 'pune', 'punekar', 'puneripatya', 'misal']"
"['update', 'india', 'maharashtra', 'pune', 'punecity', 'punekar', 'puneri', 'punefoodie', 'punefood', 'puneblogger', 'beingpunekar']"
"['epic', 'punekar']"
"['city', 'good', 'mumbai', 'pune', 'vote', 'gt']"
"['view', 'beautiful', 'kojagari', 'moon', 'today', 'night', 'pune', 'kojagiripurnima', 'moon', 'light', 'punekar']"
"['swarada', 'no', 'first', '12', 'year', 'shivaji', 'park', 'mahim', 'mumbai', '33', 'year', 'pune', 'punekar']"
"['maturity', 'know', 'sometimes', 'silence', 'powerful', 'last', 'word', 'mondaymotivation', 'punekar', 'pune']"
