0
"['could', 've', 'guess']"
"['shih', 'tzu', 'v', 'shit', 'zoo', 'conservativememes']"
"['ronald', 'reagan', 'conservativememes']"
[]
"['future', 'conservativememes']"
"['liberal', 'different', 'view', 'conservativememes']"
"['history', 'buff', 'conservativememes']"
"['logistics', 'website', 'freight', 'trucking', 'dispatch', 'cargo', 'website']"
"['stand', 'freedom']"
"['forever', 'disrespectful', 'asian', 'asianamerican', 'conservative', 'conservative', 'conservativememes']"
"['joebiden', 'great', 'cornholio', 'biden', 'letsgobrandon', 'conservative', 'conservativememes', 'bareshelvesbiden']"
"['low', 'expectation', 'conservativememes']"
"['feel', 'conservative', 'cryptohead', '2021', 'conservativememes', 'truth', 'nft']"
"['agenda21', 'anxiety', 'conservativememes', 'coronavirus', 'covid', 'covid19', 'depression', 'freedomisntfree']"
"['eye', 'biden', 'administration']"
"['remember', 'joe']"
"['dare', 'you', 'conservative', 'conservative', 'conservativememes', 'conservativememe', 'liberalmemes', 'leftistmemes']"
"['lol', 'what', 'conservativememes']"
"['give', 'choice', 'go', 'back', 'change', 'born', 'would', 'you', 'conservativememes']"
"['tenthamendment', 'conservativememes']"
"['jordanpeterson', 'conservativememes', 'left', 'creative', 'right', 'good', 'organise', 'thought']"
"['tv', 'show', 'amaze', 'first', 'unwatchable', 'later', 'conservativememes']"
"['repost', 'bennyjohnson', 'usa', 'conservativememes', 'conservative', 'republican', 'republicanmemes', 'trump', 'trump2020']"
