0
"['newspaper', 'newsalert', 'via']"
"['yearbook', 'newspaper', 'broadcast', 'bryanthornets', 'bjhsjournalism']"
"['movie', 'scifi', 'throwback', 'actor', 'newspaper', 'advertisement']"
"['halloween', 'michaelmyersmonday', 'horrormovie', 'flashback', 'advertisement', 'newspaper']"
"['horrormovie', 'throwback', 'newspaper', 'shark', 'advertisement']"
"['archaeologist', 'iraq', 'find', '2700', 'year', 'old', 'wine', 'press', 'archaeologist', 'iraq', 'winepress', 'art', 'newspaperread', 'a']"
"['nationalchuckyday', 'horrormovies', 'chuckytvseries', 'character', 'newspaper', 'parody', 'doll', 'toy']"
"['horrormovie', 'throwback', 'newspaper', 'advertisement']"
"['enhance', 'touch', 'screen', 'could', 'enable', 'user', 'feel', 'object', 'touchscreen', 'object', 'research', 'newspaper', 'tamu', 'rea']"
"['newspaper', 'japan', 'newspaperinseeds', 'tree', 'growinplantsafteruse', 'covid19india', 'pandemic', 'wewillwincorona']"
"['scientist', 'shell', 'shock', 'rare', 'new', 'specie', 'scientist', 'shell', 'newspecies', 'research', 'newspaper', 'qldmuseum', 'read']"
"['e', 'paper', '25', '10', '2021']"
"['opportunity', 'work', 'u', 's', 'virgin', 'island', 'local', 'st', 'thomas', 'newspaper', 'newspaper', 'medium', 'copyeditor']"
"['horrormovie', 'flashback', 'advertisement', 'newspaper', 'mutantfam']"
"['daily', 'update', 'today', 'follow', 'aaamediagroupdm', 'advertisement', 'query', 'newspaper', 'news', 'covid']"
"['bangla', 'news', 'current', 'news', 'bd', 'bangla', 'newspaper', 'newspaper', 'madina', 'news', 'medina', 'madina']"
"['navgujaratsamay', 'navgujaratsamayofficial', 'newspaper', 'ahmedabad', 'gujarati', 'gujaratinews', 'india', 'gujarat', 'facebook']"
"['cs', 'cssaspirants', 'cssaapirants2022', 'news', 'newspaper', 'newsoftheday', 'pa', 'irs', 'ia', 'ic', 'ifs', 'ip', 'psp', 'wti']"
"['tasveeremashriq', 'roznama', 'roznamatasveeremashriq', 'tasveeremashriqdaily', 'newspaper', 'headline', 'headlinestoday']"
"['shape', 'shift', 'material', 'infinite', 'possibility', 'shapeshiftingmaterials', 'possibility', 'research', 'newspaperr']"
"['news', 'newsindia', 'newsupdate', 'dailynews', 'newspaper', 'newsonline', 'breakingnews', 'breakingnews', 'newsdaily', 'newstoday']"
"['news', 'newsindia', 'newsupdate', 'dailynews', 'newspaper', 'newsonline', 'breakingnews', 'breakingnews', 'newsdaily', 'newstoday']"
"['news', 'newsindia', 'newsupdate', 'dailynews', 'newspaper', 'newsonline', 'breakingnews', 'breakingnews', 'newsdaily', 'newstoday']"
"['didyouknow', 'average', 'recycle', 'newspaper', 'come', 'back', 'newspaper', '7', 'day']"
"['broadway', 'return', 'show', 'rethink', 'restage', 'depiction', 'race', 'broadway', 'race', 'art', 'newspaperread', 'about']"
"['fight', 'multiple', 'sclerosis', 'cold', 'multiplesclerosis', 'cold', 'research', 'newspaper', 'read', 'here']"
