0
"['work', 'meme', 'share']"
"['pretty', 'much', 'saturday', 'cohostlife', 'podcastlife', 'politicalmemes', 'listen', 'politicalpodcast']"
"['ha', 'satire', 'politics', 'politicalmemes', 'vote', 'cast', 'election', 'meme', 'memeoftheday', 'anotherone', 'southafrica']"
"['fatf', 'put', 'turkey', 'grey', 'list', 'khalifa', 'miakhalifamemes', 'politicalmemes']"
"['vote', 'mangne', 'ngpnmc', 'badlaavnagpur', 'badlaavmovement', 'politicalmemes']"
"['marlincartoonsdecievin', 'steven', 'bannon', 'cartoon', 'politicalcartoons', 'politicalcartoonist', 'politicalmemes']"
"['modimadedisaster', 'modiruined', 'farmersfarming', 'modimemes', 'bjpnoidait', 'bjp', 'massacredfarmers', 'politicalmemes']"
"['translate', 'russian', 'meme', 'part', '2', 'leftypol', 'meme', 'politicalmemes', 'translate', 'originalcontent']"
"['translate', 'russian', 'meme', 'part', '1', 'leftypol', 'meme', 'politicalmemes', 'translate']"
"['news', 'conservative', 'republican', 'usa', 'election', 'maga', 'america', 'meme', 'bjp', 'covid', 'donaldtrump', 'politicalmemes']"
"['leftypol', 'original', 'content', 'leftypol', 'leftmemes', 'getchan', 'socialist', 'communist', 'commie', 'meme', 'politicalmemes']"
"['put', 'blame', 'china', 'infographic', 'china', 'chinamemes', 'politicalmemes', 'politics']"
"['200', 'social', 'credit', 'give', 'meme', 'politicalmemes', 'leftypol', 'mao', 'socialcreditscore', 'chinamemes', 'china']"
"['politicalhumor', 'votingmatters', 'politics', 'dumptrump', 'donaldtrump', 'politicalmemes', 'election', 'socialimpact']"
"['satiristarvind', 'politicalsatire', 'politicalsarcasm', 'politicalmemes']"
"['poljak', 'politicalmemes']"
