0
['shoppingspree']
"['10', 'off', 'etsyshop', 'shopsmallbusiness', 'shopnow', 'halloween', 'supportsmallbusinesses', 'shoppingspree', 'shoppingonline']"
"['shopping', 'onlineshopping', 'ebay', 'ebaystore', 'holidayshopping', 'shoppingspree', 'lego', 'doll', 'toy', 'actionfigures']"
"['shoppingspree', 'shoppingbag', 'shoppingmall', 'shopping', 'aquarium', 'baby', 'play', 'mat']"
"['bell', 'howell', 'ultrasonic', 'pest', 'repellers', 'pack', '4', 'see', 'tv', 'shoppingtime', 'shoppingaddict', 'shoppingspree']"
"['hit', 'outlet', 'mall', 'niagara', 'fall', 'hubby', 'worried', 'shoppingspree']"
"['dennismoleary', 'cupboard', 'look', 'like', 'shelf', 'dp', 'merch', 'store', 'empty', 'zillalife', 'shoppingspree']"
"['team', 'karim', 'zeniaamarshall', 'shoppingspree', 'thank', 'u', 'king']"
"['sportspower', 'woodbridge', 'wooden', 'playhouse', 'blue', 'shoppingtime', 'shoppingaddict', 'shoppingspree']"
"['let', 's', 'say', 'datenights', 'movienights', 'shoppingspree', 'back', 'westgate', 'shopping', 'mall', 'open', 'till', 'late']"
"['davido', 'davido', 'please', 'check', 'freestyle', 'shoppingspree']"
"['ok', 'i', 'm', 'do', 'shoppingspree']"
"['good', 'question', 'maybe', 'shoppingspree', 'actually', 'shoplift', 'shoplift', 'implies', 'ag']"
"['visit', 'visitcrayolaorl', 'nov', '14', 'child', 'enter', 'win', 'shoppingspree', 'world', 's']"
