0
"['mighty', '223ft', 'explorer', 'yacht', 'ragnar', 'vomos', 'vomoslifestyle', 'yachtparty', 'luxurytravel']"
"['plutocrat', '46', 'two', 'address', 'plus', '200', 'million', 'dollar', 'yacht', 'yachtparty']"
"['rockyhorrorpictureshow', 'yachtparty', 'capetown', 'frankenfurter', 'magenta', 'riffraff', 'columbia', 'brad', 'janet', 'eddie']"
"['whatever', 'float', 'ya', 'boat', 'patron', 'babygas', 'pop', 'lil', 'yachty', 'donp', 'babygas', 'yachtparty', 'itslit']"
"['go', 'bed', 'happy', 'woke', 'even', 'happier', 'mbx', 'yachtparty']"
"['vrabunny', 'shillme', 'yachtparty', 'vra', 'hit', '1']"
"['newportbeach', 'newportharbor', 'halloween', 'yachtparty', 'boatparty', 'halloweencostume', 'costumeparty', 'boatlife', 'ocevents']"
"['luxury', 'yacht', 'tour', 'myidealyachts', 'myidealyachts', 'rentayacht', 'yachtproposal', 'yachtrentalsindubai', 'yachtparty']"
"['crystallovesspring', 'thedentalfestival', 'yachtparty', 'miami', 'florida']"
"['penn', 'moon', 'must', 'hold', 'penn', 'w', 'attend', 'yachtparty']"
"['yachtparty', 'miami', 'florida']"
"['celebrate', 'life', 'right', 'way', 'happybirthday', 'vistayachts', 'yachtbash', 'yachtparty', 'privateyacht']"
