0
"['todav', 'a', 'sabes', 'qu', 'va', 'hacer', 'este', 'halloween', 'te', 'proponemos', 'cinco', 'plane', 'para', 'hacer', 'en', 'zaragoza', 'con', 'los', 'q']"
"['aircalin', 'airbus', 'a330', '900neo', 'london', 'stansted', 'photo', 'photographer', 'london', 'plane', 'share', 'photo', 'from']"
"['u', 'special', 'operation', 'command', 'want', 'transform', 'big', 'plane', 'gain', 'advantage', 'china', 'plane']"
"['alemania', 'plane', 'aviation', 'avgeek', 'airplane', 'planespotting', 'aircraft', 'aviationphotography', 'aviationlovers']"
"['bbva', 'te', 'ofrece', 'dinero', 'por', 'traspasar', 'tus', 'fondos', 'plane', 'de', 'pensiones']"
"['1947', 'jet', 'plane', 'broke', 'sound', 'barrier', 'first', 'time', 'jetplanes', 'jetplane', 'plane', 'plane', 'karwaan']"
"['59fifty', 'paper', 'plane', 'american', 'dream', 'black', 'available', 'hatclub', 'newdrop', 'hatclub', '59fifty', 'paper', 'plane']"
"['59fifty', 'paper', 'plane', 'original', 'crown', 'royal', 'available', 'hatclub', 'newdrop', 'hatclub', '59fifty', 'paper', 'plane']"
"['munici', 'n', 'para', 'afrontar', 'bien', 'la', 'semana', 'desde', 'la', '20h', 'let', 's', 'rock', 'colladovillalba', 'villalba', 'plane', 'plan']"
"['ride', 'travel', 'plane', 'nasa', 'jpl', 'projectartimis', 'prem', 'space', 'cycling', 'dubai', 'blueorigin', 'expo2020dubai']"
"['bimanairlines', 'boeing', '787', 'short', 'final', 'heathrowairport', 'planespotting', 'boeing787', 'aviation', 'aviationlovers']"
"['need', 'add', 'fine', 'detail', 'finish', 'first', 'aircraft', 'definitely', 'go', 'make', 'these', 'plane']"
"['rbreich', 'deficiency', 'military', 'systena', 'american', 'carrier', 'fighter', 'plane', 'serve', 'whom', 'zt', 'technical']"
"['masikakalysha', 'omg', 'yes', 'planestrains', 'bus']"
"['saturday', 'fly', 'in', 'breakfast', 'livelocal', 'community', 'plane']"
"['airbus', 'a320neo', 'vivaaerobus', 'vivaaerobus', 'aerobus', 'airbus', 'airbusa320neo', 'a320neo', 'plane', 'planespotting']"
"['anyone', 'see', 'plane', 'wash', 'here', 's', 'it', 'hand', 'qantas', 'planewash', 'plane', 'qantas']"
"['good', 'know', 'plane', 'meme']"
"['float', 'plane', 'geometry', 'art']"
"['first', 'time', 'see', 'five', 'aircraft', 'land', 'within', 'minute', 'airplane', 'planespotting', 'planewatching']"
